date	mktret	bondret
19900731	-0.009403	0.0080835
19900831	-0.091905	-0.0486475
19900928	-0.053843	0.0115155
19901031	-0.012504	0.024576
19901130	0.065744	0.0463725
19901231	0.029513	0.0209245
19910131	0.049078	0.0114435
19910228	0.075847	0.004512
19910328	0.028923	0.0017435
19910430	0.003315	0.012993
19910531	0.040733	-0.001916
19910628	-0.044029	-0.0104215
19910731	0.046795	0.015799
19910830	0.026817	0.0356705
19910930	-0.010975	0.0336095
19911031	0.017815	5.8E-05
19911129	-0.037275	0.000473
19911231	0.106778	0.065018
19920131	-0.001182	-0.032531
19920228	0.013354	0.004003
19920331	-0.0237	-0.0112055
19920430	0.013419	-0.0024135
19920529	0.006439	0.028208
19920630	-0.019271	0.0129955
19920731	0.0399	0.044137
19920831	-0.02082	0.00461
19920930	0.012447	0.014147
19921030	0.010986	-0.0219665
19921130	0.040193	0.0069885
19921231	0.017768	0.0270695
19930129	0.012644	0.0269675
19930226	0.005402	0.035368
19930331	0.025116	0.00179
19930430	-0.0254	0.006182
19930528	0.029599	0.002666
19930630	0.00544	0.0430675
19930730	-0.000792	0.0179635
19930831	0.039479	0.043883
19930930	0.000641	0.0071145
19931029	0.018064	0.011766
19931130	-0.017606	-0.031587
19931231	0.019515	0.0001585
19940131	0.031466	0.0229905
19940228	-0.024226	-0.0448955
19940331	-0.045795	-0.0448435
19940429	0.009478	-0.0161895
19940531	0.00936	-0.0080025
19940630	-0.027909	-0.0125745
19940729	0.030633	0.034145
19940831	0.042597	-0.009461
19940930	-0.018363	-0.032923
19941031	0.01452	-0.00654
19941130	-0.037219	0.0049845
19941230	0.012609	0.0161605
19950131	0.020399	0.0264595
19950228	0.039615	0.028066
19950331	0.027041	0.0093055
19950428	0.025048	0.0173065
19950531	0.034007	0.084098
19950630	0.031169	0.0113485
19950731	0.040779	-0.0184145
19950831	0.009298	0.0222715
19950929	0.036365	0.0217155
19951031	-0.011314	0.0264375
19951130	0.042804	0.027923
19951229	0.015183	0.026965
19960131	0.028138	-0.001813
19960229	0.01631	-0.0523085
19960329	0.010925	-0.0205305
19960430	0.025508	-0.0189665
19960531	0.026802	-0.0068225
19960628	-0.008302	0.018667
19960731	-0.053814	-0.0005985
19960830	0.032448	-0.0156825
19960930	0.053035	0.0297475
19961031	0.013729	0.0414715
19961129	0.065577	0.034609
19961231	-0.011397	-0.028232
19970131	0.053473	-0.009695
19970228	-0.001122	-0.001772
19970331	-0.044868	-0.0272735
19970430	0.042373	0.022893
19970530	0.071624	0.0115685
19970630	0.044095	0.0210125
19970731	0.076514	0.0628855
19970829	-0.036291	-0.0321685
19970930	0.058499	0.0314445
19971031	-0.034436	0.035277
19971128	0.030404	0.0122265
19971231	0.017817	0.023096
19980130	0.004502	0.019805
19980227	0.073303	-0.0099085
19980331	0.051301	0.003822
19980430	0.010904	0.002402
19980529	-0.025748	0.021681
19980630	0.031944	0.027243
19980731	-0.023367	-0.005525
19980831	-0.157844	0.055256
19980930	0.063827	0.041405
19981030	0.074393	-0.0219635
19981130	0.062023	0.0113775
19981231	0.063051	-0.001867
19990129	0.038456	0.007669
19990226	-0.038085	-0.06217
19990331	0.037932	-0.0009485
19990430	0.049105	0.0012365
19990528	-0.020707	-0.0170795
19990630	0.050821	-0.0135065
19990730	-0.030716	-0.0103095
19990831	-0.009984	-0.0040875
19990930	-0.022845	0.00695
19991029	0.06215	-0.005988
19991130	0.036824	-0.0075215
19991231	0.083754	-0.0174405
20000131	-0.039607	0.010761
20000229	0.031782	0.03373
20000331	0.053499	0.04182
20000428	-0.059527	-0.0106495
20000531	-0.03887	-0.002563
20000630	0.051603	0.020781
20000731	-0.017712	0.01939
20000831	0.075007	0.0215985
20000929	-0.051144	-0.0190355
20001031	-0.024495	0.017911
20001130	-0.102373	0.0298065
20001229	0.020423	0.0262915
20010131	0.039599	0.000297
20010228	-0.099103	0.016421
20010330	-0.070393	-0.011037
20010430	0.083831	-0.037114
20010531	0.010455	0.006254
20010629	-0.017553	0.004746
20010731	-0.018298	0.0387585
20010831	-0.058982	0.0252945
20010928	-0.091485	0.001119
20011031	0.027836	0.0704375
